id,Département,Type de document,Numéro de l'arrêté,Titre de l'arrêté,Date de signature de l'arrêté,Numéro du RAA,Date de publication du RAA,URL du RAA,Page début,Page fin,Campagne Aspas concernée,Sujet,Statut de traitement,Commentaire
1,4,1,0,,12/05/2025,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,3,7,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,12/05/2025,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,8,12,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,01/01/1900,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,3,7,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,01/01/1900,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,8,12,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,01/01/1900,Non déterminé,06/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42000/250842/file/recueil-04-2025-093-recueil-des-actes-administratifs.pdf,6,8,1,5,0,0
1,4,1,0,,01/01/1900,Non déterminé,06/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42000/250842/file/recueil-04-2025-093-recueil-des-actes-administratifs.pdf,9,13,1,14,0,0
1,4,1,0,,01/01/1900,Non déterminé,05/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41991/250793/file/recueil-04-2025-091-recueil-des-actes-administratifs.pdf,5,9,1,1,0,0
1,4,1,0,,01/01/1900,Non déterminé,05/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41991/250793/file/recueil-04-2025-091-recueil-des-actes-administratifs.pdf,18,24,1,32,0,0
1,4,1,0,,01/01/1900,Non déterminé,05/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41991/250793/file/recueil-04-2025-091-recueil-des-actes-administratifs.pdf,25,58,1,5,0,0
1,4,1,0,,01/01/1900,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,3,7,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,01/01/1900,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,8,12,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,01/01/1900,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,3,7,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
1,4,1,0,,01/01/1900,Non déterminé,12/05/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/42015/250953/file/recueil-04-2025-098-recueil-des-actes-administratifs-nominatifs.pdf,8,12,1,1-5-6-7-14-15-18-20-21-28-29-32,0,0
